27.51	137.20
27.53	118.15
27.55	104.33
27.57	61.47
27.59	55.52
27.61	57.03
27.63	64.74
27.65	55.42
27.67	56.05
27.69	59.48
27.71	55.94
27.73	74.43
27.75	240.08
27.77	353.58
27.79	312.90
27.81	289.83
27.83	288.16
27.85	336.78
27.87	337.92
27.89	342.39
27.91	402.52
27.93	368.66
27.95	343.68
27.97	381.06
27.99	377.78
28.01	354.21
28.03	428.50
28.05	422.82
28.07	447.40
28.09	470.74
28.11	385.64
28.13	410.35
28.15	380.01
28.17	322.61
28.19	411.94
28.21	425.60
28.23	433.82
28.25	446.78
28.27	351.79
28.29	413.97
28.31	524.44
28.33	383.33
28.35	569.58
28.37	446.04
28.39	409.39
28.41	419.78
28.43	451.09
28.45	316.37
28.47	302.51
28.49	266.85
28.51	266.27
28.53	243.34
28.55	217.45
28.57	102.72
28.59	84.61
28.61	81.26
28.63	75.62
28.65	60.46
28.67	71.16
28.69	61.02
28.71	63.56
28.73	60.38
28.75	63.65
28.77	68.98
28.79	60.20
28.81	67.41
28.83	61.61
28.85	166.78
28.87	269.68
28.89	323.41
28.91	347.85
28.93	278.65
28.95	337.11
28.97	458.65
28.99	351.22
29.01	345.79
29.03	382.01
29.05	485.30
29.07	381.52
29.09	439.46
29.11	380.04
29.13	332.62
29.15	393.26
29.17	353.47
29.19	390.18
29.21	536.04
29.23	518.71
29.25	357.95
29.27	473.58
29.29	422.73
29.31	508.60
29.33	419.95
29.35	640.91
29.37	457.55
29.39	374.20
29.41	563.64
29.43	450.40
29.45	455.97
29.47	554.20
29.49	465.60
29.51	593.39
29.53	477.40
29.55	558.05
29.57	559.08
29.59	485.56
29.61	468.99
29.63	756.05
29.65	681.82
29.67	502.58
29.69	715.91
29.71	466.82
29.73	484.22
29.75	422.38
29.77	546.45
29.79	599.35
29.81	501.44
29.83	657.55
29.85	445.45
29.87	601.01
29.89	473.28
29.91	552.35
29.93	548.32
29.95	471.84
29.97	438.75
29.99	526.51
30.01	509.22
30.03	497.00
30.05	521.97
30.07	458.95
30.09	464.97
30.11	578.49
30.13	557.66
30.15	540.41
30.17	643.85
30.19	555.60
30.21	584.35
30.23	501.19
30.25	601.56
30.27	774.39
30.29	422.01
30.31	493.54
30.33	518.51
30.35	544.40
30.37	488.87
30.39	461.06
30.41	384.93
30.43	305.56
30.45	297.69
30.47	456.85
30.49	395.69
30.51	351.20
30.53	300.74
30.55	322.52
30.57	213.94
30.59	204.36
30.61	150.22
30.63	161.70
30.65	141.64
30.67	106.90
30.69	123.23
30.71	102.12
30.73	140.83
30.75	164.57
30.77	212.90
30.79	220.47
30.81	297.18
30.83	368.01
30.85	277.22
30.87	262.99
30.89	287.63
30.91	387.94
30.93	376.43
30.95	394.48
30.97	318.58
30.99	370.19
31.01	400.52
31.03	407.07
31.05	354.25
31.07	412.65
31.09	315.65
31.11	334.84
31.13	386.68
31.15	435.51
31.17	349.44
31.19	401.49
31.21	366.09
31.23	271.76
31.25	341.28
31.27	351.28
31.29	389.22
31.31	322.40
31.33	469.35
31.35	419.44
31.37	442.45
31.39	301.71
31.41	350.32
31.43	395.93
31.45	370.41
31.47	435.61
31.49	386.28
31.51	335.19
31.53	447.93
31.55	364.31
31.57	588.21
31.59	443.59
31.61	295.68
31.63	331.72
31.65	343.67
31.67	334.82
31.69	327.63
31.71	284.98
31.73	287.61
31.75	219.53
31.77	271.98
31.79	205.29
31.81	260.05
31.83	194.72
31.85	200.91
31.87	189.59
31.89	206.55
31.91	184.07
31.93	170.00
31.95	144.49
31.97	203.44
31.99	179.82
32.01	108.15
32.03	85.94
32.05	84.21
32.07	98.16
32.09	84.43
32.11	NaN
32.13	69.97
32.15	66.15
32.17	62.03
32.19	64.65
32.21	71.14
32.23	54.66
32.25	53.29
32.27	60.18
32.29	62.15
32.31	65.50
32.33	60.57
32.35	64.07
32.37	50.50
32.39	63.75
